Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
12 18 2014,77.325,77.18,77.325,77.18,0.03,1.189615385,1.187384615,1.189615385,1.187384615
12 19 2014,77.325,77.2,77.325,77.18,0,1.189615385,1.187692308,1.189615385,1.187384615
12 22 2014,77.975,77.2,78.025,77.2,0.84,1.199615385,1.187692308,1.200384615,1.187692308
12 23 2014,77.955,77.85,78.425,77.83,-0.03,1.199307692,1.197692308,1.206538462,1.197384615
12 24 2014,77.945,77.83,77.955,77.82,-0.01,1.199153846,1.197384615,1.199307692,1.197230769
12 25 2014,77.945,77.82,77.945,77.82,0,1.199153846,1.197230769,1.199153846,1.197230769
12 26 2014,77.925,77.82,77.945,77.8,-0.03,1.198846154,1.197230769,1.199153846,1.196923077
12 29 2014,77.925,77.8,77.925,77.78,0,1.198846154,1.196923077,1.198846154,1.196615385
12 30 2014,77.895,77.8,77.925,77.77,-0.04,1.198384615,1.196923077,1.198846154,1.196461538
12 31 2014,77.925,77.77,77.925,77.77,0.04,1.198846154,1.196461538,1.198846154,1.196461538
01 01 2015,77.925,77.8,77.925,77.8,0,1.198846154,1.196923077,1.198846154,1.196923077
01 02 2015,77.895,77.8,77.925,77.77,-0.04,1.198384615,1.196923077,1.198846154,1.196461538
01 05 2015,77.875,77.77,77.895,77.75,-0.03,1.198076923,1.196461538,1.198384615,1.196153846
01 06 2015,78.005,77.75,78.075,77.75,0.17,1.200076923,1.196153846,1.201153846,1.196153846
01 07 2015,77.875,77.75,77.875,77.75,-0.17,1.198076923,1.196153846,1.198076923,1.196153846
01 08 2015,77.875,77.75,77.875,77.73,0,1.198076923,1.196153846,1.198076923,1.195846154
01 09 2015,77.875,77.75,77.875,77.72,0,1.198076923,1.196153846,1.198076923,1.195692308
01 12 2015,77.825,77.75,77.875,77.7,-0.06,1.197307692,1.196153846,1.198076923,1.195384615
01 13 2015,77.875,77.7,77.875,77.7,0.06,1.198076923,1.195384615,1.198076923,1.195384615
01 14 2015,77.845,77.75,77.875,77.7,-0.04,1.197615385,1.196153846,1.198076923,1.195384615
01 15 2015,77.855,77.72,77.875,77.72,0.01,1.197769231,1.195692308,1.198076923,1.195692308
