"Date","Price","Open","High","Low","Change %"
"Aug 27, 2014","77.290","77.390","77.640","77.040","-0.45"
"Aug 26, 2014","77.640","77.330","77.660","77.330","0.05"
"Aug 25, 2014","77.600","77.350","77.600","77.350","0.00"
"Aug 22, 2014","77.600","77.380","77.670","77.350","-0.04"
"Aug 21, 2014","77.630","77.400","77.690","77.380","-0.03"
"Aug 20, 2014","77.650","77.420","77.690","77.400","-0.03"
"Aug 19, 2014","77.670","77.400","77.690","77.400","0.03"
"Aug 18, 2014","77.650","77.400","77.690","77.400","0.00"
"Aug 15, 2014","77.650","77.420","77.670","77.400","0.00"
"Aug 14, 2014","77.650","77.430","77.730","77.400","-0.04"
"Aug 13, 2014","77.680","77.470","77.730","77.430","-0.05"
"Aug 12, 2014","77.720","77.460","77.730","77.460","0.01"
"Aug 11, 2014","77.710","77.430","77.730","77.430","0.04"
"Aug 08, 2014","77.680","77.450","77.720","77.430","-0.03"
"Aug 07, 2014","77.700","77.470","77.730","77.450","-0.03"
"Aug 06, 2014","77.720","77.480","77.750","77.470","-0.01"
"Aug 05, 2014","77.730","77.400","77.750","77.400","0.10"
"Aug 04, 2014","77.650","77.300","77.670","77.300","0.13"
"Aug 01, 2014","77.550","77.320","77.570","77.300","-0.03"
"Jul 31, 2014","77.570","77.330","77.670","77.320","-0.01"
"Jul 30, 2014","77.580","77.330","77.630","77.330","0.00"
"Jul 29, 2014","77.580","77.370","77.620","77.330","-0.05"
"Jul 28, 2014","77.620","77.380","77.630","77.370","-0.01"
"Jul 25, 2014","77.630","77.380","77.630","77.380","0.00"
"Jul 24, 2014","77.630","77.400","77.680","77.380","-0.03"
"Jul 23, 2014","77.650","77.430","77.700","77.400","-0.04"
"Jul 22, 2014","77.680","77.470","77.720","77.430","-0.05"
"Jul 21, 2014","77.720","77.400","77.750","77.400","0.09"
"Jul 18, 2014","77.650","77.420","77.670","77.400","-0.03"
"Jul 17, 2014","77.670","77.460","77.710","77.420","-0.05"
"Jul 16, 2014","77.710","77.480","77.750","77.460","-0.03"
"Jul 15, 2014","77.730","77.480","77.750","77.470","0.00"
"Jul 14, 2014","77.730","77.500","77.750","77.330","-0.03"
"Jul 11, 2014","77.750","77.500","77.750","77.500","0.00"
"Jul 10, 2014","77.750","77.550","77.800","77.500","-0.06"
"Jul 09, 2014","77.800","77.500","77.820","77.500","0.06"
"Jul 08, 2014","77.750","77.550","77.800","77.500","-0.06"
"Jul 07, 2014","77.800","77.550","77.820","77.550","0.01"
"Jul 04, 2014","77.790","77.540","77.790","77.540","0.00"
"Jul 03, 2014","77.790","77.530","77.800","77.530","0.01"
"Jul 02, 2014","77.780","77.520","77.820","77.520","0.01"
"Jul 01, 2014","77.770","77.520","77.820","77.520","0.00"
"Jun 30, 2014","77.770","77.520","77.820","77.520","0.00"
"Jun 27, 2014","77.770","77.540","77.790","77.520","-0.03"
"Jun 26, 2014","77.790","77.540","77.800","77.540","0.00"
"Jun 25, 2014","77.790","77.530","77.800","77.530","0.01"
"Jun 24, 2014","77.780","77.300","77.800","77.300","0.30"
"Jun 23, 2014","77.550","77.330","77.800","77.300","-0.04"
"Jun 20, 2014","77.580","77.350","77.600","77.330","-0.03"
"Jun 19, 2014","77.600","77.380","77.630","77.350","-0.04"
"Jun 18, 2014","77.630","77.530","77.780","77.380","-0.19"
"Jun 17, 2014","77.780","77.520","77.800","77.520","0.01"
"Jun 16, 2014","77.770","77.480","77.800","77.480","0.05"
"Jun 13, 2014","77.730","77.520","77.770","77.480","-0.05"
"Jun 12, 2014","77.770","77.520","77.800","77.520","0.00"
"Jun 11, 2014","77.770","77.420","77.800","77.420","0.13"
"Jun 10, 2014","77.670","77.420","77.700","77.420","0.00"
"Jun 09, 2014","77.670","77.380","77.700","77.380","0.05"
"Jun 06, 2014","77.630","77.380","77.630","77.380","0.00"
"Jun 05, 2014","77.630","77.420","77.670","77.380","-0.05"
"Jun 04, 2014","77.670","77.350","77.700","77.350","0.09"
"Jun 03, 2014","77.600","77.350","77.650","77.350","0.00"
"Jun 02, 2014","77.600","77.350","77.600","77.350","-0.01"
"May 30, 2014","77.610","77.380","77.630","77.360","-0.03"
"May 29, 2014","77.630","77.320","77.650","77.320","0.08"
"May 28, 2014","77.570","77.350","77.600","77.320","-0.04"
"May 27, 2014","77.600","77.380","77.650","77.350","-0.04"
"May 26, 2014","77.630","77.450","77.700","77.380","-0.03"
"May 23, 2014","77.650","77.420","77.670","77.400","-0.03"
"May 22, 2014","77.670","77.440","77.700","77.420","-0.03"
"May 21, 2014","77.690","77.420","77.700","77.420","0.03"
"May 20, 2014","77.670","77.320","77.700","77.320","0.13"
"May 19, 2014","77.570","77.400","77.650","77.320","-0.10"
"May 16, 2014","77.650","77.430","77.680","77.400","-0.04"
"May 15, 2014","77.680","77.530","77.780","77.430","-0.13"
"May 14, 2014","77.780","77.420","77.790","77.420","0.14"
"May 13, 2014","77.670","77.450","77.700","77.420","-0.04"
"May 12, 2014","77.700","77.500","77.790","77.450","-0.04"
"May 09, 2014","77.730","77.500","77.750","77.480","-0.03"
"May 08, 2014","77.750","77.530","77.790","77.500","-0.04"
"May 07, 2014","77.780","77.520","77.800","77.520","0.01"
"May 06, 2014","77.770","77.530","77.800","77.400","-0.04"
"May 05, 2014","77.800","77.500","78.050","77.300","0.06"
"May 02, 2014","77.750","77.520","77.770","77.500","-0.03"
"May 01, 2014","77.770","77.530","77.780","77.520","-0.01"
"Apr 30, 2014","77.780","77.530","77.800","77.530","0.00"
"Apr 29, 2014","77.780","77.300","77.800","77.300","0.30"
"Apr 28, 2014","77.550","77.330","77.800","77.300","-0.04"
"Apr 25, 2014","77.580","77.350","77.600","77.330","-0.03"
"Apr 24, 2014","77.600","77.380","77.630","77.350","-0.04"
"Apr 23, 2014","77.630","77.380","77.630","77.380","0.00"
"Apr 22, 2014","77.630","77.400","77.830","77.380","-0.03"
"Apr 21, 2014","77.650","77.400","77.830","77.400","0.00"
"Apr 18, 2014","77.650","77.400","77.650","77.400","0.00"
"Apr 17, 2014","77.650","77.400","77.650","77.400","0.00"
"Apr 16, 2014","77.650","77.420","77.670","77.400","-0.03"
"Apr 15, 2014","77.670","77.450","77.700","77.420","-0.04"
"Apr 14, 2014","77.700","77.470","77.720","77.450","-0.03"
"Apr 11, 2014","77.720","77.500","77.750","77.470","-0.04"
"Apr 10, 2014","77.750","77.520","78.000","77.500","-0.03"
"Apr 09, 2014","77.770","77.520","77.800","77.520","0.00"
"Apr 08, 2014","77.770","77.430","77.800","77.430","0.12"
"Apr 07, 2014","77.680","77.470","77.720","77.430","-0.05"
