Date,Price,Open,High,Low,Change 
07 10 2015,8.1739,8.1666,8.1913,8.1652,0.07
07 13 2015,8.185,8.172,8.2048,8.1664,0.14
07 14 2015,8.1639,8.1834,8.2048,8.1601,-0.26
07 15 2015,8.1934,8.1624,8.2067,8.162,0.36
07 16 2015,8.1874,8.192,8.2013,8.1801,-0.07
07 17 2015,8.1921,8.1887,8.1978,8.1753,0.06
07 20 2015,8.2054,8.1889,8.2249,8.1879,0.16
07 21 2015,8.2032,8.2034,8.2263,8.1954,-0.03
07 22 2015,8.2023,8.1995,8.2166,8.1894,-0.01
07 23 2015,8.2463,8.2003,8.2478,8.2002,0.54
07 24 2015,8.2704,8.2445,8.2802,8.2325,0.29
07 27 2015,8.2827,8.2758,8.2919,8.2557,0.15
07 28 2015,8.2309,8.2849,8.2891,8.2212,-0.63
07 29 2015,8.2331,8.2291,8.2508,8.2244,0.03
07 30 2015,8.2719,8.2319,8.2759,8.231,0.47
07 31 2015,8.2534,8.2721,8.2824,8.2358,-0.22
08 03 2015,8.2772,8.2531,8.2793,8.2449,0.29
08 04 2015,8.2277,8.2754,8.2774,8.2112,-0.6
08 05 2015,8.2164,8.2262,8.2463,8.2085,-0.14
08 06 2015,8.221,8.2149,8.2346,8.2103,0.06
08 07 2015,8.222,8.2196,8.2521,8.215,0.01
08 10 2015,8.2259,8.2206,8.2455,8.216,0.05
08 11 2015,8.2882,8.2241,8.2982,8.2213,0.76
08 12 2015,8.3609,8.289,8.3737,8.2801,0.88
08 13 2015,8.4069,8.3595,8.4254,8.3342,0.55
08 14 2015,8.3973,8.4093,8.4326,8.3737,-0.11
08 17 2015,8.4381,8.3915,8.4413,8.3883,0.49
08 18 2015,8.4403,8.4377,8.4467,8.4197,0.03
08 19 2015,8.3974,8.4386,8.4418,8.3891,-0.51
08 20 2015,8.4402,8.3939,8.476,8.3889,0.51
08 21 2015,8.5175,8.4393,8.5202,8.4367,0.92
08 24 2015,8.6198,8.5161,8.6206,8.5135,1.2
08 25 2015,8.5505,8.6178,8.6326,8.4966,-0.8
08 26 2015,8.5141,8.5495,8.5653,8.5121,-0.43
08 27 2015,8.512,8.5131,8.5365,8.4968,-0.02
08 28 2015,8.5355,8.5123,8.55,8.5062,0.28
08 31 2015,8.5694,8.5333,8.5806,8.5308,0.4
09 01 2015,8.5655,8.5656,8.5767,8.5392,-0.05
09 02 2015,8.5421,8.5637,8.5774,8.5304,-0.27
09 03 2015,8.5291,8.5403,8.5552,8.5195,-0.15
09 04 2015,8.6044,8.5303,8.618,8.5253,0.88
09 07 2015,8.6303,8.6023,8.6333,8.5899,0.3
09 08 2015,8.5531,8.6285,8.6344,8.551,-0.89
09 09 2015,8.5943,8.5512,8.5984,8.5457,0.48
09 10 2015,8.5545,8.5926,8.6149,8.5525,-0.46
09 11 2015,8.5473,8.5526,8.5927,8.5451,-0.08
09 14 2015,8.5499,8.5448,8.5808,8.5414,0.03
09 15 2015,8.5736,8.5503,8.5782,8.5485,0.28
09 16 2015,8.5439,8.5719,8.5835,8.5377,-0.35
09 17 2015,8.5253,8.5388,8.5552,8.5226,-0.22
09 18 2015,8.4991,8.5293,8.5498,8.4717,-0.31
