pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
P3,Electronics_Instruments,Na,11351,Saudi_Arab,NA,19.791627,Manifacutred_goods
P3,Electronics_Instruments,Na,11419,U_Arab_Emts,NA,216.633554,Manifacutred_goods
P3,Electronics_Instruments,Na,13147,Germany,NA,68.875569,Manifacutred_goods
P3,Electronics_Instruments,Na,13421,U_K,NA,38.767496,Manifacutred_goods
P4,Telecom_Instruments,Na,5423,U_S_A,NA,124.253573,Manifacutred_goods
P4,Telecom_Instruments,Na,7171,Guyana,NA,0.03315,Manifacutred_goods
P4,Telecom_Instruments,Na,10027,Bangladesh_Pr,NA,11.974759,Manifacutred_goods
P4,Telecom_Instruments,Na,10077,China_P_Rp,NA,57.704782,Manifacutred_goods
P4,Telecom_Instruments,Na,10179,Hong_Kong,NA,58.350868,Manifacutred_goods
P4,Telecom_Instruments,Na,10205,Japan,NA,5.572322,Manifacutred_goods
P4,Telecom_Instruments,Na,10217,Korea_Rp,NA,13.313299,Manifacutred_goods
P4,Telecom_Instruments,Na,10245,Malaysia,NA,46.218015,Manifacutred_goods
P4,Telecom_Instruments,Na,10273,Nepal,NA,3.431158,Manifacutred_goods
P4,Telecom_Instruments,Na,10359,Singapore,NA,21.018853,Manifacutred_goods
P4,Telecom_Instruments,Na,10437,Vietnam_Soc_Rep,NA,3.849737,Manifacutred_goods
P4,Telecom_Instruments,Na,11351,Saudi_Arab,NA,17.201736,Manifacutred_goods
P4,Telecom_Instruments,Na,11419,U_Arab_Emts,NA,195.74848,Manifacutred_goods
P4,Telecom_Instruments,Na,13147,Germany,NA,2.241732,Manifacutred_goods
P4,Telecom_Instruments,Na,13421,U_K,NA,7.049197,Manifacutred_goods
P5,Project_Goods,Kgs,5423,U_S_A,21253,0.717402,Manifacutred_goods
P5,Project_Goods,Kgs,10027,Bangladesh_Pr,530430,7.485125,Manifacutred_goods
P5,Project_Goods,Kgs,10077,China_P_Rp,2169,0.011439,Manifacutred_goods
P5,Project_Goods,Kgs,10205,Japan,3,0.002025,Manifacutred_goods
P5,Project_Goods,Kgs,10217,Korea_Rp,405,0.005243,Manifacutred_goods
