Date,Price,Open,High,Low,Change ,calamities
6 20 2014,60.175,60.235,60.345,60.135,0.13,
6 23 2014,60.16,60.065,60.305,60.015,-0.02,
6 24 2014,60.16,60.09,60.175,60.08,0,
6 25 2014,60.085,60.255,60.4,60.085,-0.12,
6 26 2014,60.21,60.035,60.26,60.035,0.21,
6 27 2014,60.045,60.21,60.21,60.045,-0.27,pipeline explosion
6 30 2014,60.06,60.045,60.28,60.005,0.02,
07 01 2014,60.06,60.085,60.2,60.06,0,
07 02 2014,59.692,60.035,60.095,59.59,-0.61,
07 03 2014,59.74,59.675,59.85,59.53,0.08,
07 04 2014,59.725,59.745,59.83,59.645,-0.03,
07 07 2014,59.955,59.815,60.06,59.735,0.39,
07 08 2014,59.755,59.955,60.005,59.665,-0.33,
07 09 2014,59.765,59.755,59.95,59.685,0.02,
07 10 2014,60.195,59.685,60.225,59.575,0.72,
07 11 2014,60.095,60.115,60.315,59.925,-0.17,
7 14 2014,60.125,59.97,60.215,59.915,0.05,
7 15 2014,60.125,60.045,60.25,60.005,0,
7 16 2014,60.125,60.235,60.275,60.09,0,
7 17 2014,60.185,60.025,60.2,60.025,0.1,
7 18 2014,60.285,60.385,60.455,60.245,0.17,
7 21 2014,60.245,60.285,60.34,60.165,-0.07,
7 22 2014,60.105,60.265,60.305,60.1,-0.23,
7 23 2014,60.02,60.145,60.21,59.96,-0.14,
7 24 2014,60.125,59.965,60.165,59.935,0.17,
7 25 2014,60.06,60.055,60.195,60.01,-0.11,
7 28 2014,60.09,60.055,60.17,60.055,0.05,
7 29 2014,60.13,60.125,60.14,60.1,0.07,
7 30 2014,60.065,60.245,60.245,60.052,-0.11,
7 31 2014,60.555,60.245,60.565,60.205,0.82,
08 01 2014,61.215,60.755,61.225,60.7,1.09,
08 04 2014,60.945,61.205,61.205,60.875,-0.44,
08 05 2014,60.85,60.885,61.005,60.695,-0.16,
08 06 2014,61.5,61.035,61.525,61.025,1.07,
08 07 2014,61.245,61.405,61.555,61.215,-0.41,
08 08 2014,61.145,61.245,61.745,61.135,-0.16,
08 11 2014,61.175,61.085,61.265,61.025,0.05,
08 12 2014,61.085,61.125,61.225,61.075,-0.15,
8 13 2014,61.095,61.095,61.315,61.095,0.02,
8 14 2014,60.765,61.105,61.12,60.765,-0.54,
8 15 2014,60.78,60.82,60.85,60.78,0.02,
8 18 2014,60.78,60.78,60.78,60.78,0,
8 19 2014,60.675,60.775,60.785,60.645,-0.17,
8 20 2014,60.615,60.845,60.885,60.52,-0.1,
